Ranking by Total Referral Bonus Earned,User ID,Yesterday Referral Bonus Earned (BTC),Traded,Account Balance > 1 USDT,Time Invited
221,55596025,0.00000000 BTC,NO,YES,2021-01-03 20:35:41
222,65275563,0.00000000 BTC,NO,NO,2021-01-10 12:39:04
223,57497378,0.00000000 BTC,NO,NO,2021-01-11 23:36:25
224,66460376,0.00000000 BTC,NO,YES,2021-01-12 23:03:55
225,66465872,0.00000000 BTC,NO,YES,2021-01-12 23:32:08
226,66466611,0.00000000 BTC,NO,YES,2021-01-12 23:36:11
227,65305331,0.00000000 BTC,NO,NO,2021-01-12 23:58:20
228,51935631,0.00000000 BTC,NO,YES,2021-01-13 00:12:02
229,55321847,0.00000000 BTC,NO,YES,2021-01-13 00:33:55
230,66481366,0.00000000 BTC,NO,NO,2021-01-13 01:00:21
231,65404288,0.00000000 BTC,NO,NO,2021-01-13 02:28:05
232,44774831,0.00000000 BTC,NO,YES,2021-01-13 02:52:56
233,66500442,0.00000000 BTC,NO,YES,2021-01-13 03:13:45
234,66461821,0.00000000 BTC,NO,NO,2021-01-13 10:05:14
235,66543260,0.00000000 BTC,NO,NO,2021-01-13 10:13:07
236,66484006,0.00000000 BTC,NO,NO,2021-01-13 13:00:24
237,66590737,0.00000000 BTC,NO,NO,2021-01-13 14:38:00
238,66598691,0.00000000 BTC,NO,NO,2021-01-13 15:02:56
239,66629633,0.00000000 BTC,NO,NO,2021-01-13 16:35:33
240,66641869,0.00000000 BTC,NO,NO,2021-01-13 17:28:41
241,66664253,0.00000000 BTC,NO,NO,2021-01-13 18:32:53
242,66669564,0.00000000 BTC,NO,YES,2021-01-13 18:44:00
243,66634772,0.00000000 BTC,NO,YES,2021-01-13 20:14:18
244,62151101,0.00000000 BTC,NO,YES,2021-01-13 22:14:33
245,66700487,0.00000000 BTC,NO,YES,2021-01-13 23:27:50
246,66747234,0.00000000 BTC,NO,YES,2021-01-13 23:58:29
247,66746152,0.00000000 BTC,NO,NO,2021-01-14 00:23:17
248,66745226,0.00000000 BTC,NO,NO,2021-01-14 00:33:38
249,66769115,0.00000000 BTC,NO,NO,2021-01-14 01:03:57
250,66770983,0.00000000 BTC,NO,NO,2021-01-14 01:48:06
251,66535965,0.00000000 BTC,NO,NO,2021-01-14 10:21:20
252,66859841,0.00000000 BTC,NO,YES,2021-01-14 12:11:57
253,66923531,0.00000000 BTC,NO,NO,2021-01-14 17:02:46
254,66928630,0.00000000 BTC,NO,NO,2021-01-14 17:54:15
255,66983625,0.00000000 BTC,NO,NO,2021-01-14 20:49:50
256,66634952,0.00000000 BTC,NO,NO,2021-01-14 21:08:26
257,66997435,0.00000000 BTC,NO,YES,2021-01-14 21:36:13
258,20109987,0.00000000 BTC,NO,YES,2021-01-14 23:19:09
259,67130042,0.00000000 BTC,NO,NO,2021-01-15 11:52:05
260,66620861,0.00000000 BTC,NO,NO,2021-01-15 13:05:07
261,67145154,0.00000000 BTC,NO,NO,2021-01-15 13:11:08
262,57288307,0.00000000 BTC,NO,YES,2021-01-15 16:20:11
263,65678162,0.00000000 BTC,NO,NO,2021-01-15 20:42:54
264,62934162,0.00000000 BTC,NO,NO,2021-01-17 02:11:04
265,66479587,0.00000000 BTC,NO,NO,2021-01-17 20:04:29
266,67480400,0.00000000 BTC,NO,YES,2021-01-17 20:19:57
267,65492468,0.00000000 BTC,NO,NO,2021-01-18 10:01:34
268,44610383,0.00000000 BTC,NO,NO,2021-01-18 19:01:54
269,45412466,0.00000000 BTC,NO,NO,2021-01-18 19:08:22
270,46260252,0.00000000 BTC,NO,NO,2021-01-18 19:13:00
271,46799755,0.00000000 BTC,NO,NO,2021-01-18 19:16:27
272,55095142,0.00000000 BTC,NO,NO,2021-01-18 19:18:23
273,66844607,0.00000000 BTC,NO,YES,2021-01-18 20:38:58
